,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,[8.34465e-07],[0.],[0.],[0.],[0.],[0.00026032],[3.3080578e-06],[0.5077152],[0.],[2.9802322e-07],[5.066395e-07],[0.3649932],[0.21007612],[0.],[0.00208673],[5.581975e-05],[0.13358343],[0.25117752],[0.01487201],[1.2785196e-05],[0.00179526],[7.4505806e-07],[0.],[5.596876e-05],[0.],[0.],[0.23106632],[0.03260124],[0.],[0.],[0.],[0.03289658],[7.125735e-05],[3.2782555e-07],[0.],[0.48315936],[0.],[0.40401554],[0.00511515],[0.],[0.],[0.27645025],[0.],[0.],[0.],[2.9802322e-08],[9.23872e-07],[0.],[2.8550625e-05],[0.42566645],[0.],[4.172325e-07],[0.],[0.0001297],[0.],[0.],[0.22643626],[0.],[3.543496e-05],[0.],[0.],[0.],[0.],[6.1690807e-06]
21,[1.013279e-06],[0.],[0.],[0.],[0.],[0.00033733],[4.261732e-06],[0.2775501],[0.],[3.5762787e-07],[6.854534e-07],[0.17635116],[0.13558105],[0.],[0.00270262],[7.343292e-05],[0.16653377],[0.1429222],[0.019189],[1.6838312e-05],[0.00232536],[8.046627e-07],[0.],[7.247925e-05],[0.],[0.],[0.1367645],[0.04176933],[0.],[0.],[0.],[0.04222128],[9.23872e-05],[4.7683716e-07],[5.9604645e-08],[0.25828564],[0.],[0.20160848],[0.00661898],[0.],[0.],[0.43448997],[0.],[0.],[0.],[1.1920929e-07],[1.1026859e-06],[0.],[3.7014484e-05],[0.21635017],[0.],[4.7683716e-07],[0.],[0.00016806],[0.],[0.],[0.3705259],[0.],[4.5865774e-05],[0.],[0.],[0.],[0.],[8.046627e-06]
22,[8.046627e-07],[0.],[0.],[0.],[0.],[0.00023377],[2.95043e-06],[0.48331362],[0.],[2.682209e-07],[4.4703484e-07],[0.47772664],[0.29736817],[0.],[0.00187504],[5.00679e-05],[0.12166068],[0.34802368],[0.01338106],[1.1473894e-05],[0.00161308],[6.2584877e-07],[0.],[5.030632e-05],[0.],[0.],[0.32350826],[0.02896386],[0.],[0.],[0.],[0.02965286],[6.404519e-05],[2.9802322e-07],[0.],[0.5073532],[0.],[0.51895165],[0.00459775],[0.],[0.],[0.21577501],[0.],[0.],[0.],[2.9802322e-08],[8.34465e-07],[0.],[2.5600195e-05],[0.52666426],[0.],[3.5762787e-07],[0.],[0.00011647],[0.],[0.],[0.20101148],[0.],[3.1799078e-05],[0.],[0.],[0.],[0.],[5.6028366e-06]
23,[5.066395e-07],[0.],[0.],[0.],[0.],[0.00016728],[2.115965e-06],[0.2926234],[0.],[2.0861626e-07],[3.5762787e-07],[0.36372054],[0.48867306],[0.],[0.00134149],[3.5583973e-05],[0.09012097],[0.4525107],[0.00960508],[8.136034e-06],[0.00115404],[4.4703484e-07],[0.],[3.59118e-05],[0.],[0.],[0.4714186],[0.02104595],[0.],[0.],[0.],[0.02138484],[4.5835972e-05],[1.7881393e-07],[0.],[0.2975748],[0.],[0.33989286],[0.00329208],[0.],[0.],[0.16422588],[0.],[0.],[0.],[5.9604645e-08],[5.066395e-07],[0.],[1.835823e-05],[0.32712018],[0.],[1.7881393e-07],[0.],[8.326769e-05],[0.],[0.],[0.15247163],[0.],[2.270937e-05],[0.],[0.],[0.],[0.],[4.0233135e-06]
24,[0.],[0.7101053],[0.1553978],[0.00187701],[0.5081955],[0.],[0.],[0.],[0.25964648],[0.],[0.],[0.],[0.],[0.01225775],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00061122],[0.],[3.555417e-05],[0.10682639],[0.],[0.],[0.04810742],[0.14303133],[0.00080004],[0.],[0.],[0.],[1.013279e-06],[0.],[0.74942845],[0.],[0.],[0.00105777],[1.0043383e-05],[0.],[2.0861626e-06],[3.5762787e-07],[5.662441e-07],[1.7881393e-07],[0.],[0.03099805],[0.],[0.],[0.13274515],[0.],[1.5944242e-05],[0.],[0.09466383],[3.9339066e-06],[0.],[0.55905885],[0.],[0.571778],[5.5283308e-05],[0.22472349],[0.07809877],[0.]
25,[0.00346047],[5.9604645e-08],[5.9604645e-08],[1.4305115e-06],[8.940697e-08],[0.0060938],[0.03634182],[5.066395e-07],[2.0861626e-07],[0.00122508],[0.00219724],[3.2782555e-07],[2.9802322e-07],[7.748604e-07],[0.00059986],[0.0634647],[2.8014183e-06],[2.9802322e-07],[3.08156e-05],[0.615259],[0.00040928],[0.00297728],[0.],[0.35228524],[6.4074993e-06],[0.],[2.9802322e-07],[5.841255e-06],[5.662441e-07],[5.9604645e-08],[0.],[1.2516975e-05],[0.09687302],[0.00149891],[6.338954e-05],[3.874302e-07],[5.9604645e-08],[4.172325e-07],[8.368492e-05],[1.758337e-06],[8.374453e-06],[8.6426735e-07],[0.],[4.0233135e-05],[3.6984682e-05],[0.00011849],[0.00979033],[0.],[0.6139124],[3.874302e-07],[0.],[0.00161111],[8.910894e-06],[0.02407166],[0.],[1.2993813e-05],[1.1026859e-06],[1.4901161e-07],[0.26870555],[1.1920929e-07],[5.155802e-06],[2.9802322e-08],[0.],[0.11577117]
26,[0.],[0.75380516],[0.22785866],[0.00100288],[0.6236853],[0.],[0.],[0.],[0.15770009],[2.9802322e-08],[0.],[0.],[0.],[0.00658152],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00097999],[0.],[1.8954277e-05],[0.1609549],[0.],[0.],[0.02627146],[0.21116737],[0.00128257],[0.],[0.],[0.],[6.2584877e-07],[0.],[0.7587086],[0.],[0.],[0.00056499],[5.3942204e-06],[0.],[2.7120113e-06],[2.3841858e-07],[3.2782555e-07],[0.],[0.],[0.04880396],[0.],[0.],[0.19710815],[0.],[8.493662e-06],[0.],[0.14362052],[2.1457672e-06],[0.],[0.40364736],[0.],[0.6816889],[2.9534101e-05],[0.31736374],[0.11962062],[0.]
27,[1.1026859e-05],[2.0056963e-05],[4.3213367e-06],[0.01028872],[9.953976e-06],[5.9604645e-08],[7.748604e-07],[0.],[0.00031781],[0.00040364],[2.8014183e-05],[0.],[0.],[0.0028685],[0.],[0.],[0.],[0.],[0.],[2.9802322e-08],[0.],[3.311038e-05],[1.7881393e-07],[1.4901161e-07],[0.11694127],[3.1590462e-06],[0.],[0.],[0.00101778],[3.963709e-06],[2.0861626e-07],[0.],[0.],[0.00015786],[0.70227677],[0.],[2.9295683e-05],[0.],[0.],[0.01500866],[0.25198624],[0.],[0.],[0.7275268],[0.71841073],[0.16911545],[6.2584877e-07],[1.5497208e-06],[1.4901161e-07],[0.],[3.4868717e-06],[9.1701746e-05],[0.17852652],[5.9604645e-08],[2.95043e-06],[0.36519435],[0.],[0.00013837],[5.9604645e-08],[1.0967255e-05],[0.09392712],[5.275011e-06],[2.682209e-06],[3.874302e-07]
28,[0.09120789],[1.1026859e-06],[2.682209e-07],[2.6226044e-05],[6.556511e-07],[1.3411045e-06],[0.00078616],[0.],[4.6789646e-06],[0.68406844],[0.22507825],[0.],[0.],[1.1920929e-05],[1.1920929e-07],[8.34465e-07],[0.],[0.],[0.],[3.0398369e-06],[0.],[0.25568163],[2.9802322e-08],[7.56979e-06],[0.00021395],[1.7881393e-07],[0.],[0.],[1.0967255e-05],[2.682209e-07],[2.9802322e-08],[0.],[2.115965e-06],[0.6208172],[0.00607061],[0.],[1.2516975e-06],[0.],[0.],[3.167987e-05],[0.00054404],[0.],[0.],[0.00870815],[0.00581956],[0.05444521],[0.00380039],[1.7881393e-07],[7.122755e-06],[0.],[2.3841858e-07],[0.4873915],[0.00033066],[1.3411045e-06],[2.0861626e-07],[0.00092864],[0.],[3.0100346e-06],[2.115965e-06],[5.9604645e-07],[0.00016749],[4.172325e-07],[2.0861626e-07],[0.00011235]
29,[7.1525574e-07],[0.],[0.],[0.],[0.],[0.0002352],[2.9206276e-06],[0.45330226],[0.],[2.0861626e-07],[4.4703484e-07],[0.51141906],[0.32628733],[0.],[0.00188613],[5.1766634e-05],[0.12228957],[0.3792104],[0.01345879],[1.1891127e-05],[0.00162265],[6.854534e-07],[0.],[5.0634146e-05],[0.],[0.],[0.3536899],[0.02999404],[0.],[0.],[0.],[0.02982226],[6.443262e-05],[2.9802322e-07],[0.],[0.47722787],[0.],[0.52287054],[0.00462478],[0.],[0.],[0.21677032],[0.],[0.],[0.],[5.9604645e-08],[7.748604e-07],[0.],[2.5779009e-05],[0.51161855],[0.],[3.2782555e-07],[0.],[0.00011718],[0.],[0.],[0.20195627],[0.],[3.2007694e-05],[0.],[0.],[0.],[0.],[5.5730343e-06]
30,[5.185604e-06],[0.00010833],[1.6093254e-05],[0.05302966],[4.568696e-05],[0.],[5.066395e-07],[0.],[0.00170934],[2.7745962e-05],[5.6922436e-06],[0.],[0.],[0.01506287],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.1891127e-05],[8.6426735e-07],[8.940697e-08],[0.41635102],[1.1861324e-05],[0.],[0.],[0.00545827],[1.4841557e-05],[1.013279e-06],[0.],[0.],[1.579523e-05],[0.19246897],[0.],[0.00015768],[0.],[0.],[0.07585409],[0.64471817],[0.],[0.],[0.17738035],[0.26773173],[0.01142785],[3.874302e-07],[5.7816505e-06],[0.],[0.],[1.31726265e-05],[1.04904175e-05],[0.53931534],[0.],[1.0997057e-05],[0.7050897],[0.],[0.00074455],[2.9802322e-08],[5.9068203e-05],[0.3583225],[1.9580126e-05],[1.013279e-05],[2.3841858e-07]
31,[4.172325e-06],[0.],[0.],[0.],[0.],[0.00130811],[1.6629696e-05],[0.01937607],[0.],[1.4603138e-06],[2.5629997e-06],[0.01571634],[0.01183581],[0.],[0.0104107],[0.00027025],[0.15218818],[0.0125936],[0.07058957],[6.195903e-05],[0.00896719],[3.5464764e-06],[0.],[0.00028139],[0.],[0.],[0.01192442],[0.35407165],[0.],[0.],[0.],[0.24743173],[0.00035849],[1.7285347e-06],[1.4901161e-07],[0.01744157],[0.],[0.01667243],[0.02521452],[0.],[0.],[0.03273737],[0.],[8.940697e-08],[1.1920929e-07],[1.1920929e-07],[4.261732e-06],[0.],[0.00014356],[0.01690426],[0.],[1.8775463e-06],[0.],[0.00065181],[0.],[0.],[0.04033566],[0.],[0.0001781],[0.],[0.],[0.],[0.],[3.0368567e-05]
